사고객체,사고장소,사고장소특징,A진행방향,B진행방향,과실비율A,과실비율B,사고유형
차대차,직선 도로,추돌 사고,선행자동차(1차사고차량)를 추돌,선행자동차(1차사고차량),80,20,0
차대차,직선 도로,추돌 사고,후행 추돌,선행 직진,100,0,1
차대차,직선 도로,추돌 사고,주(정)차,후행 추돌,0,100,2
차대차,직선 도로,차로 감소 도로 (합류),본선에서 직진,차로 감소 도로에서 본선으로 합류,40,60,3
차대차,직선 도로,열린 문 접촉사고,후행직진,선행자동차(정차중 문열림),20,80,4
차대차,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진,0,100,5
차대차,직선 도로,이면도로 교행 사고,(마주보며) 직진,(마주보며) 직진,50,50,6
차대차,직선 도로,추월 사고,선행 직진,추월(실선 중앙선),0,100,7
차대차,직선 도로,추월 사고,선행 직진,급접거리 추월(점선 중앙선),0,100,8
차대차,직선 도로,추월 사고,중앙선 침범 추월(후방),중앙선 침범 추월(전방),60,40,9
차대차,직선 도로,추월 사고,실선 추월,선행 직진,100,0,10
차대차,직선 도로,차로변경(진로변경),후행 직진,선행 진로 변경,30,70,11
차대차,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경),50,50,12
차대차,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌),100,0,13
차대차,직선 도로,안전지대 통과 사고,후행 직진(안전지대 벗어나기 전),선행 진로변경,100,0,14
차대차,직선 도로,안전지대 통과 사고,후행 직진(안전지대 벗어난 후),선행 진로변경,70,30,15
차대차,직선 도로,정차 후 출발 사고,정차 후 출발,추월,80,20,16
차대차,직선 도로,긴급자동차 사고,직진,중앙선 왼쪽 통행(긴급자동차),60,40,17
차대차,직선 도로,긴급자동차 사고,후행 직진,선행 진로변경(긴급자동차),90,10,18
차대차,직선 도로,긴급자동차 사고,선행 직진,추월(긴급자동차),60,40,19
차대차,직선 도로,긴급자동차 사고,선행 진로변경,후행 직진(긴급자동차),100,0,20
차대차,사거리교차로(신호등 없음),동일폭 도로,오른쪽에서 직진,왼쪽에서 직진,40,60,21
차대차,사거리교차로(신호등 없음),동일폭 도로,오른쪽에서 직진(후진입),왼쪽에서 직진(선진입),70,30,22
차대차,사거리교차로(신호등 없음),동일폭 도로,오른쪽에서 직진(선진입),왼쪽에서 직진(후진입),30,70,23
차대차,사거리교차로(신호등 없음),동일폭 도로,(마주보며) 직진,(마주보며) 좌회전,30,70,24
차대차,사거리교차로(신호등 없음),동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전,40,60,25
차대차,사거리교차로(신호등 없음),동일폭 도로,오른쪽 도로에서 직진,왼쪽 도로에서 좌회전,30,70,26
차대차,사거리교차로(신호등 없음),동일폭 도로,우회전,직진,60,40,27
차대차,사거리교차로(신호등 없음),동일폭 도로,우회전(후진입),직진(선진입),70,30,28
차대차,사거리교차로(신호등 없음),동일폭 도로,우회전(선진입),직진(후진입),40,60,29
차대차,사거리교차로(신호등 없음),동일폭 도로,오른쪽 도로에서 좌회전,왼쪽 도로에서 좌회전,40,60,30
차대차,사거리교차로(신호등 없음),대로와 소로,대로에서 직진,소로에서 직진,30,70,31
차대차,사거리교차로(신호등 없음),대로와 소로,대로에서 직진,소로에서 좌회전,20,80,32
차대차,사거리교차로(신호등 없음),대로와 소로,대로에서 직진(후진입),소로에서 직진(선진입),60,40,33
차대차,사거리교차로(신호등 없음),대로와 소로,대로에서 직진(선진입),소로에서 직진(후진입),20,80,34
차대차,사거리교차로(신호등 없음),대로와 소로,소로에서 직진《좌측도로》,대로에서 좌회전《우측도로》,50,50,35
차대차,사거리교차로(신호등 없음),대로와 소로,소로에서 직진《우측도로》,대로에서 좌회전《좌측도로》,45,55,36
차대차,사거리교차로(신호등 없음),대로와 소로,소로에서 우회전,대로에서 직진,70,30,37
차대차,사거리교차로(신호등 없음),대로와 소로,소로에서 우회전(후진입),대로에서 직진(선진입),80,20,38
차대차,사거리교차로(신호등 없음),대로와 소로,소로에서 우회전(선진입),대로에서 직진(후진입),50,50,39
차대차,사거리교차로(신호등 없음),대로와 소로,대로에서 우회전,소로에서 직진,30,70,40
차대차,사거리교차로(신호등 없음),대로와 소로,대로에서 우회전(후진입),소로에서 직진(선진입),60,40,41
차대차,사거리교차로(신호등 없음),대로와 소로,대로에서 우회전(선진입),소로에서 직진(후진입),20,80,42
차대차,사거리교차로(신호등 없음),대로와 소로,소로에서 좌회전,대로에서 좌회전,70,30,43
차대차,사거리교차로(신호등 없음),일시정지 표시가한쪽방향에만 있음,표지가 없는 도로에서 직진,일시정지 위반 직진,20,80,44
차대차,사거리교차로(신호등 없음),일시정지 표시가한쪽방향에만 있음,표지가 없는 도로에서 직진,일시정지 위반 좌회전,20,80,45
차대차,사거리교차로(신호등 없음),일시정지 표시가한쪽방향에만 있음,일시정지 위반 직진(좌측도로),표지가 없는 도로에서좌회전(우측도로),70,30,46
차대차,사거리교차로(신호등 없음),일시정지 표시가 한쪽방향에만 있음,일시정지 위반 직진(우측도로),표지가 없는 도로에서 좌회전(좌측도로),60,40,47
차대차,사거리교차로(신호등 없음),일시정지 표시가한쪽방향에만 있음,일시정지 위반 우회전,표지가 없는 도로에서 직진,80,20,48
차대차,사거리교차로(신호등 없음),일시정지 표시가한쪽방향에만 있음,일시정지 위반 직진,표지가 없는 도로에서 우회전,80,20,49
차대차,사거리교차로(신호등 없음),일시정지 표시가한쪽방향에만 있음,일시정지 위반 좌회전,표지가 없는 도로에서 좌회전,80,20,50
차대차,사거리교차로(신호등 없음),일방통행 표지가한쪽방향에만 있음,직진,일방통행 위반 직진,20,80,51
차대차,사거리교차로(신호등 없음),교차로 내 진로변경,직진(교차로 내 진로변경),우회전,60,40,52
차대차,사거리교차로(신호등 없음),2개 차량이 나란히 통행 가능한 차로폭,후행 직진(차로 좌측),선행 좌회전(차로 우측),20,80,53
차대차,사거리교차로(신호등 없음),2개 차량이 나란히 통행가능한 차로폭,후행 직진(차로 우측),선행 우회전(차로 좌측),20,80,54
차대차,사거리교차로(신호등 없음),좌/우회전 각도가 90도미만,후행 직진,선행 좌회전,40,60,55
차대차,사거리교차로(신호등 없음),좌/우회전 각도가 90도미만,후행 직진,선행 우회전,40,60,56
차대차,사거리교차로(신호등 없음),2개 차로 동시 우회전,우회전(오른쪽 차로),우회전(왼쪽 차로),30,70,57
차대차,사거리교차로(신호등 없음),정차 후 출발 사고,정차 후 출발,추월,80,20,58
차대차,사거리교차로(신호등 없음),긴급자동차 사고,대로에서 직진,소로에서 진입(긴급자동차),70,30,59
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[녹색신호] 직진,[적색신호] 직진,0,100,60
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,"[녹색신호], 직진, [적색신호] 충돌",[녹색신호] 직진,30,70,61
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,"[황색신호], 직진, [적색신호] 충돌",[녹색신호] 직진,80,20,62
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,[황색신호] 직진,[적색신호] 직진,30,70,63
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,[황색신호] 직진,[적색신호] 좌회진,30,70,64
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,[적색신호] 직진,[적색신호] 직진,50,50,65
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[적색신호] 직진,[녹색 좌회전 신호] 좌회전,100,0,66
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,[적색신호] 직진,[적색신호] 좌회전,50,50,67
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,[적색신호] 직진,[황색신호] 좌회전,60,40,68
차대차,사거리교차로(신호등 있음),상대 차량이 측면 방향에서진입,"[녹색 좌회전 신호]좌회전,[적색신호] 충돌",[녹색신호] 직진,30,70,69
